season,teamName,teamScore,assists,reboundsDefensive,reboundsOffensive,reboundsTotal,steals,blocks,turnovers,foulsPersonal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,plusMinusPoints
2000-2001,Celtics,94.62,20.83,28.87,10.94,39.8,9.38,4.1,15.67,23.8,33.82,79.09,0.43,7.22,19.91,0.36,19.77,26.71,0.74,-2.13
2000-2001,Clippers,92.45,19.33,31.21,11.73,42.94,5.98,6.26,15.77,21.65,35.32,78.87,0.45,4.39,12.96,0.33,17.43,25.13,0.69,-2.65
2000-2001,Grizzlies,91.73,23.16,29.65,10.9,40.55,7.15,4.38,15.74,21.13,35.0,79.74,0.44,3.96,11.55,0.34,17.77,23.07,0.77,-5.32
2000-2001,Hawks,90.96,19.01,30.37,12.54,42.9,7.73,4.72,16.68,22.72,35.07,81.32,0.43,4.06,11.38,0.36,16.76,22.09,0.77,-5.0
2000-2001,Heat,88.52,19.76,29.62,9.82,39.45,7.62,3.75,13.88,21.2,32.74,76.18,0.43,5.81,16.87,0.34,17.22,22.73,0.75,1.42
2000-2001,Hornets,92.35,22.79,31.6,12.66,44.26,8.16,5.45,14.54,21.33,34.12,79.15,0.43,4.17,12.0,0.34,19.93,26.74,0.74,2.82
2000-2001,Jazz,96.63,25.59,29.08,11.56,40.64,7.9,5.62,15.75,25.76,35.92,76.76,0.47,3.94,10.43,0.37,20.85,27.69,0.75,4.49
2000-2001,Kings,101.38,22.07,32.94,12.31,45.26,9.53,5.27,15.41,19.89,37.88,85.08,0.45,5.77,16.3,0.35,19.86,25.6,0.78,5.62
2000-2001,Knicks,88.74,18.37,30.66,9.33,39.99,6.62,4.2,14.54,22.8,33.59,75.34,0.45,4.72,13.49,0.35,16.84,21.2,0.79,2.3
2000-2001,Lakers,101.07,22.99,31.89,13.41,45.3,7.26,5.94,14.79,22.81,37.97,81.57,0.47,5.48,15.6,0.35,19.65,28.82,0.68,4.91
2000-2001,Magic,97.71,21.99,29.9,13.06,42.95,8.21,5.88,15.01,25.31,36.85,84.09,0.44,6.07,16.6,0.37,17.94,25.19,0.72,0.94
2000-2001,Mavericks,99.58,20.76,31.08,10.36,41.43,7.36,5.95,13.82,23.27,37.03,81.78,0.45,6.28,16.62,0.38,19.23,24.02,0.8,3.41
2000-2001,Nets,92.1,19.55,28.5,11.09,39.59,7.91,4.96,14.73,24.17,33.91,79.88,0.42,4.4,13.22,0.33,19.87,26.17,0.76,-4.62
2000-2001,Nuggets,96.56,24.02,31.5,12.73,44.23,6.73,6.56,13.85,22.2,36.33,83.87,0.43,6.24,17.61,0.35,17.66,23.95,0.73,-2.46
2000-2001,Pacers,92.33,21.47,31.48,11.26,42.73,6.77,5.87,15.07,23.49,34.41,78.6,0.44,4.9,14.33,0.34,18.62,24.23,0.77,-0.48
2000-2001,Pistons,95.57,19.87,32.02,13.51,45.54,7.48,5.45,15.9,23.84,35.6,83.9,0.43,4.74,13.56,0.36,19.63,27.23,0.72,-1.7
2000-2001,Raptors,96.95,24.18,30.33,13.41,43.74,7.37,6.3,13.43,21.3,36.93,84.32,0.44,5.32,14.31,0.37,17.78,23.77,0.75,2.09
2000-2001,Rockets,97.22,19.67,30.78,11.21,41.99,7.16,4.37,14.68,20.21,35.89,79.2,0.46,6.15,17.22,0.35,19.29,25.44,0.76,2.29
2000-2001,Spurs,95.54,21.4,33.05,10.96,44.01,6.81,6.88,14.35,19.16,34.93,76.33,0.46,5.44,13.6,0.4,20.24,28.31,0.71,6.95
2000-2001,Suns,93.77,23.14,30.84,11.91,42.74,9.47,5.26,15.37,22.77,35.81,82.73,0.43,4.06,13.05,0.31,18.08,24.0,0.75,1.66
2000-2001,SuperSonics,97.29,21.85,29.54,12.18,41.72,8.01,4.99,15.27,21.13,36.94,81.09,0.46,5.68,14.26,0.41,17.73,24.22,0.73,0.02
2000-2001,Timberwolves,96.63,25.08,30.19,12.16,42.35,8.28,5.57,13.85,23.22,38.03,83.59,0.46,3.88,10.94,0.35,16.67,21.2,0.79,1.26
2000-2001,Trail Blazers,95.19,23.67,30.18,11.64,41.81,8.13,5.09,15.33,21.28,36.47,78.19,0.47,4.53,13.15,0.34,17.72,23.26,0.76,3.53
2000-2001,Warriors,92.49,21.8,29.09,16.4,45.49,9.05,5.0,15.87,21.06,35.82,87.5,0.41,3.44,11.76,0.28,17.41,24.68,0.71,-8.89
2000-2001,Wizards,93.23,20.09,28.9,12.39,41.29,7.68,4.67,16.96,23.33,34.55,78.7,0.44,3.35,10.34,0.32,20.78,27.38,0.76,-6.29
2001-2002,76ers,90.87,19.94,30.77,13.28,44.05,8.62,4.4,15.26,19.98,33.98,78.21,0.44,2.69,8.97,0.3,20.23,26.02,0.78,1.0
2001-2002,Bucks,97.51,22.52,31.18,10.26,41.44,7.27,4.73,14.11,21.8,37.09,80.21,0.46,7.23,19.3,0.38,16.11,21.55,0.75,-0.22
2001-2002,Bulls,89.45,22.16,28.77,11.27,40.04,7.72,4.4,15.27,22.37,34.28,79.16,0.43,3.66,10.59,0.33,17.23,23.88,0.72,-8.03
2001-2002,Cavaliers,95.27,23.06,30.28,11.8,42.09,6.98,5.73,14.59,21.37,35.95,80.27,0.45,4.72,12.51,0.37,18.65,24.15,0.77,-3.33
2001-2002,Celtics,95.52,20.63,31.56,10.82,42.38,9.54,3.76,13.67,21.86,34.46,81.49,0.42,8.42,23.6,0.35,18.18,23.74,0.76,2.31
2001-2002,Clippers,95.68,20.9,30.17,13.21,43.38,6.22,6.59,14.8,19.8,36.22,81.32,0.45,4.98,13.99,0.35,18.27,24.71,0.74,-0.46
2001-2002,Grizzlies,89.9,21.77,29.43,12.0,41.43,7.88,5.95,16.39,19.16,34.77,79.7,0.44,4.1,13.37,0.3,16.27,22.96,0.71,-7.44
2001-2002,Hawks,94.04,20.2,29.82,11.65,41.46,8.13,4.27,15.54,20.76,35.38,80.61,0.44,5.16,14.56,0.35,18.12,23.68,0.76,-4.01
2001-2002,Heat,87.2,20.29,31.02,11.0,42.02,6.67,5.46,14.84,22.51,34.16,77.83,0.44,3.8,10.96,0.36,15.07,20.83,0.73,-1.54
2001-2002,Hornets,94.12,21.26,30.65,13.09,43.74,8.05,5.74,14.1,21.91,35.16,80.32,0.44,4.24,12.13,0.36,19.55,26.33,0.74,0.87
2001-2002,Jazz,95.62,24.31,28.62,13.6,42.22,9.13,6.41,16.5,24.13,34.9,77.81,0.45,3.42,10.33,0.34,22.41,29.51,0.76,1.07
2001-2002,Kings,104.03,23.35,32.9,12.45,45.35,8.79,4.59,13.92,19.81,39.37,84.92,0.46,5.16,14.48,0.36,20.13,26.87,0.75,6.73
2001-2002,Knicks,91.63,20.98,29.98,10.68,40.66,6.8,3.51,14.54,21.95,34.35,79.51,0.43,5.78,16.39,0.35,17.15,21.78,0.79,-3.54
2001-2002,Lakers,100.62,22.33,32.05,12.43,44.48,7.48,5.82,12.88,22.5,37.91,82.86,0.46,6.2,17.63,0.35,18.6,26.46,0.71,6.5
2001-2002,Magic,100.17,21.88,29.79,11.37,41.16,7.99,4.64,13.56,20.97,37.44,83.8,0.45,7.41,20.07,0.37,17.88,23.73,0.75,1.54
2001-2002,Mavericks,105.57,21.87,31.29,11.17,42.46,7.01,4.77,12.13,22.76,39.09,84.82,0.46,7.64,20.24,0.38,19.74,24.4,0.81,3.9
2001-2002,Nets,96.04,23.69,30.61,12.61,43.22,8.56,5.88,14.44,21.8,36.85,83.08,0.44,4.76,14.56,0.32,17.57,23.96,0.73,3.58
2001-2002,Nuggets,92.18,22.16,28.17,13.62,41.79,7.48,5.63,14.7,22.84,35.55,83.78,0.43,5.16,15.67,0.32,15.93,21.41,0.74,-5.41
2001-2002,Pacers,96.51,22.87,31.46,11.17,42.63,8.03,5.24,15.4,23.0,35.74,80.0,0.45,4.93,14.41,0.35,20.1,26.07,0.77,0.26
2001-2002,Pistons,93.1,21.22,28.77,9.85,38.62,7.84,6.75,14.55,20.71,34.12,76.48,0.45,7.03,18.86,0.37,17.83,23.67,0.75,1.86
2001-2002,Raptors,90.95,21.66,28.57,13.52,42.09,8.37,5.52,14.41,21.7,35.43,81.76,0.43,4.64,13.36,0.35,15.46,20.92,0.74,-0.33
2001-2002,Rockets,92.34,18.07,29.4,12.5,41.9,6.55,5.43,14.1,18.0,34.6,80.84,0.43,6.05,18.05,0.33,17.1,23.09,0.74,-4.89
2001-2002,Spurs,96.12,19.7,31.14,11.07,42.21,7.46,6.54,14.03,19.34,35.24,77.45,0.46,5.3,14.76,0.36,20.34,27.34,0.75,5.86
2001-2002,Suns,95.15,22.41,29.63,13.07,42.71,8.15,4.89,14.7,21.77,37.77,84.56,0.45,4.37,13.37,0.32,15.24,19.88,0.76,-0.68
2001-2002,SuperSonics,97.07,23.14,28.47,11.78,40.25,8.25,4.46,13.53,21.25,37.95,81.37,0.47,5.9,15.55,0.38,15.26,20.31,0.74,2.26
2001-2002,Timberwolves,99.42,24.01,31.38,12.96,44.34,6.36,5.12,13.46,21.41,38.62,83.88,0.46,4.84,12.76,0.39,17.34,21.86,0.8,2.88
2001-2002,Trail Blazers,96.46,23.39,29.88,13.19,43.07,8.55,4.44,14.31,19.93,36.45,81.38,0.45,5.72,16.14,0.35,17.85,23.34,0.76,2.69
2001-2002,Warriors,97.67,20.8,30.4,16.27,46.67,7.93,6.38,16.8,22.98,36.56,85.23,0.43,3.9,12.12,0.32,20.65,28.59,0.72,-5.4
2001-2002,Wizards,92.79,20.91,29.18,12.87,42.05,6.95,4.32,13.02,21.5,35.83,81.27,0.44,3.72,9.59,0.38,17.41,22.76,0.77,-1.15
2002-2003,76ers,96.23,21.26,29.49,12.63,42.12,9.89,3.34,14.71,22.24,35.95,80.33,0.45,3.09,9.73,0.32,21.26,27.31,0.77,2.12
2002-2003,Bucks,99.38,22.09,28.74,10.52,39.26,7.56,4.17,12.73,22.55,37.09,81.22,0.46,7.08,18.5,0.38,18.11,23.41,0.77,-0.08
2002-2003,Bulls,94.95,21.73,30.99,12.01,43.0,7.38,5.62,16.93,24.73,36.48,81.88,0.45,4.26,12.16,0.34,17.74,24.56,0.73,-4.71
2002-2003,Cavaliers,91.37,20.88,31.0,13.63,44.63,7.76,6.35,18.27,22.73,34.76,82.27,0.42,3.57,10.93,0.3,18.32,24.54,0.75,-9.62
2002-2003,Celtics,92.88,19.37,30.33,10.18,40.51,8.76,3.76,14.0,21.92,32.98,79.35,0.42,8.75,26.07,0.33,18.17,24.28,0.74,-0.18
2002-2003,Clippers,93.82,19.57,30.02,12.29,42.32,7.0,5.62,15.74,21.76,34.57,79.15,0.44,4.76,14.37,0.33,19.91,26.55,0.75,-4.12
2002-2003,Grizzlies,97.5,23.07,30.07,11.5,41.57,7.94,6.1,15.39,20.46,37.18,82.23,0.45,5.7,15.6,0.36,17.44,23.61,0.75,-3.23
2002-2003,Hawks,94.07,20.48,31.2,11.43,42.62,7.45,5.77,16.67,21.74,34.87,78.46,0.44,4.9,13.91,0.35,19.44,24.52,0.79,-3.33
2002-2003,Heat,85.56,18.3,30.05,11.56,41.61,7.22,3.95,14.23,22.63,32.78,79.48,0.41,4.24,13.41,0.32,15.76,20.6,0.76,-4.62
2002-2003,Hornets,93.82,21.9,29.95,13.31,43.26,7.95,4.82,14.69,21.84,35.42,81.34,0.44,5.02,13.39,0.38,17.95,23.43,0.77,1.85
2002-2003,Jazz,94.56,25.38,28.82,12.54,41.36,8.55,5.69,16.69,22.54,35.21,75.61,0.47,2.68,7.76,0.35,21.47,28.72,0.75,1.92
2002-2003,Kings,102.52,24.52,33.29,11.21,44.5,8.79,5.47,14.31,20.66,39.5,85.28,0.46,6.09,16.05,0.38,17.44,23.21,0.75,6.27
2002-2003,Knicks,95.85,21.95,28.98,10.27,39.24,7.06,3.11,14.01,23.02,36.18,82.01,0.44,7.39,19.29,0.38,16.1,19.76,0.82,-1.35
2002-2003,Lakers,100.33,22.98,31.12,13.04,44.16,7.69,5.68,14.39,23.0,37.65,83.57,0.45,6.07,17.1,0.36,18.98,25.98,0.73,2.06
2002-2003,Magic,97.65,20.09,29.1,11.54,40.64,8.24,3.69,14.38,23.56,35.55,81.74,0.44,6.79,19.15,0.36,19.76,25.42,0.78,-0.45
2002-2003,Mavericks,103.2,22.01,31.0,11.13,42.13,7.71,5.41,11.64,21.73,38.58,85.32,0.45,8.04,20.89,0.38,18.0,21.72,0.82,6.42
2002-2003,Nets,95.03,22.68,30.96,12.37,43.33,8.49,4.5,14.79,22.29,35.2,80.35,0.44,4.3,12.81,0.33,20.33,26.82,0.76,5.12
2002-2003,Nuggets,84.16,21.18,28.82,13.56,42.38,8.68,5.15,18.46,25.07,32.79,79.8,0.41,2.79,10.05,0.27,15.78,22.56,0.69,-7.39
2002-2003,Pacers,96.44,23.06,32.09,12.31,44.4,8.39,5.43,14.66,22.18,35.14,80.39,0.44,4.66,13.92,0.33,21.51,28.02,0.77,2.86
2002-2003,Pistons,91.12,19.41,29.56,10.77,40.32,6.99,5.74,13.32,21.69,32.46,76.08,0.43,6.54,18.3,0.36,19.66,25.69,0.76,3.2
2002-2003,Raptors,90.89,19.3,28.72,12.48,41.2,7.43,4.78,14.4,21.48,34.72,81.27,0.43,4.99,14.55,0.34,16.46,22.91,0.72,-5.46
2002-2003,Rockets,93.76,18.37,31.27,12.49,43.76,7.24,6.01,15.56,19.54,34.63,78.79,0.44,5.35,15.45,0.33,19.13,24.93,0.77,1.48
2002-2003,Spurs,95.58,20.12,31.68,11.6,43.28,7.69,6.55,15.51,20.62,35.09,76.78,0.46,5.44,15.42,0.35,19.94,27.63,0.72,5.43
2002-2003,Suns,94.83,20.64,29.75,12.83,42.58,8.2,4.99,14.8,22.45,36.35,82.7,0.44,4.8,14.12,0.34,17.33,23.42,0.75,0.69
2002-2003,SuperSonics,92.13,21.65,29.09,11.74,40.83,8.28,3.6,13.23,20.88,35.21,80.48,0.44,5.56,15.74,0.35,16.16,21.71,0.75,0.15
2002-2003,Timberwolves,98.28,25.02,31.98,11.5,43.48,6.75,5.16,13.78,21.01,38.6,82.9,0.47,3.68,10.09,0.36,17.4,22.51,0.77,1.5
2002-2003,Trail Blazers,95.64,22.73,29.06,12.33,41.38,8.64,3.79,15.09,20.13,36.43,79.15,0.46,4.75,14.26,0.33,18.03,24.19,0.74,2.76
2002-2003,Warriors,102.44,20.88,31.05,15.66,46.71,7.24,6.17,15.79,21.78,37.33,84.65,0.44,5.18,15.06,0.34,22.6,29.05,0.78,-0.61
2002-2003,Wizards,91.49,19.66,29.21,11.18,40.39,7.57,4.76,13.35,20.05,34.34,77.98,0.44,3.09,9.89,0.3,19.72,25.33,0.78,-1.01
2003-2004,76ers,87.88,19.84,29.41,11.47,40.88,7.96,4.35,15.88,20.86,32.63,76.37,0.43,4.1,12.04,0.33,18.53,24.55,0.75,-2.54
2003-2004,Bucks,97.28,22.67,30.39,11.67,42.06,6.86,4.64,13.75,20.52,35.95,80.84,0.45,4.85,13.98,0.35,20.52,26.59,0.77,0.15
2003-2004,Bulls,89.6,21.72,30.69,12.66,43.35,8.0,4.88,16.05,23.31,33.96,81.92,0.42,5.19,15.17,0.35,16.19,22.34,0.72,-6.33
2003-2004,Cavaliers,92.88,22.07,32.1,13.55,45.64,7.19,6.57,14.94,21.45,35.62,82.18,0.44,3.02,9.57,0.32,18.62,24.85,0.75,-2.48
2003-2004,Celtics,94.69,20.39,29.79,10.33,40.13,9.32,4.08,16.54,22.44,34.41,77.87,0.44,6.63,19.26,0.34,19.23,25.62,0.76,-2.31
2003-2004,Clippers,94.61,20.07,29.46,14.1,43.55,7.28,4.63,16.45,22.18,34.33,80.31,0.43,4.01,12.47,0.32,21.95,28.01,0.79,-4.55
2003-2004,Grizzlies,96.2,22.97,28.91,12.63,41.54,9.78,6.8,15.03,23.43,35.93,80.78,0.45,5.36,15.86,0.34,18.98,26.1,0.73,1.78
2003-2004,Hawks,92.66,20.07,30.64,12.11,42.75,7.63,4.94,16.33,22.33,34.42,79.63,0.43,5.08,15.13,0.32,18.73,24.14,0.77,-4.41
2003-2004,Heat,89.39,18.67,30.09,11.55,41.65,7.29,3.88,13.97,22.49,32.89,77.89,0.42,5.57,16.04,0.35,18.04,23.77,0.76,1.02
2003-2004,Hornets,91.09,20.87,29.51,13.2,42.71,8.43,4.24,15.27,20.91,33.51,80.14,0.42,6.43,20.07,0.32,17.63,23.44,0.75,0.0
2003-2004,Jazz,88.69,20.41,27.76,13.4,41.16,7.12,6.0,16.61,25.57,32.8,75.2,0.44,3.05,9.55,0.32,20.05,26.87,0.75,-0.89
2003-2004,Kings,101.85,25.74,30.74,10.81,41.55,8.8,3.95,13.98,19.56,37.48,81.91,0.46,7.11,17.98,0.39,19.78,24.98,0.79,4.54
2003-2004,Knicks,91.54,20.6,30.71,11.63,42.34,7.54,4.74,15.79,23.41,34.87,79.45,0.44,4.9,13.67,0.35,16.9,21.38,0.79,-1.95
2003-2004,Lakers,96.07,23.52,30.73,11.78,42.51,8.11,4.54,13.64,21.49,36.11,79.95,0.45,4.56,13.99,0.32,19.3,28.52,0.68,3.51
2003-2004,Magic,94.02,19.24,28.62,12.14,40.76,6.76,3.79,13.68,21.36,35.38,82.35,0.43,5.19,15.13,0.34,18.07,24.5,0.74,-6.88
2003-2004,Mavericks,104.58,23.66,31.01,14.64,45.65,8.09,5.38,12.39,20.01,40.3,88.43,0.46,6.01,17.49,0.34,17.97,22.8,0.79,4.22
2003-2004,Nets,90.14,24.0,30.44,10.54,40.98,8.66,4.11,15.35,21.7,33.95,77.2,0.44,4.57,14.03,0.32,17.66,23.59,0.74,3.24
2003-2004,Nuggets,96.84,21.79,29.09,13.28,42.37,9.01,6.14,15.43,22.13,36.54,82.75,0.44,4.06,12.07,0.34,19.7,25.78,0.76,0.78
2003-2004,Pacers,90.47,20.92,30.03,11.6,41.63,8.84,5.2,14.22,21.22,32.97,76.53,0.43,5.53,15.92,0.34,18.67,24.69,0.75,6.09
2003-2004,Pistons,89.64,20.47,30.65,12.47,43.12,8.17,6.93,15.33,20.86,33.08,76.92,0.43,4.07,12.18,0.33,19.39,26.01,0.75,5.95
2003-2004,Raptors,85.33,19.17,29.48,10.13,39.61,7.4,4.92,14.19,21.34,32.35,77.46,0.42,5.58,15.71,0.35,15.05,20.07,0.75,-2.92
2003-2004,Rockets,89.25,18.91,32.27,10.33,42.6,6.75,5.24,16.91,21.76,33.16,75.31,0.44,6.13,17.0,0.36,16.8,21.88,0.77,0.8
2003-2004,Spurs,91.24,20.33,32.24,12.55,44.79,8.02,6.29,14.74,20.6,34.53,78.22,0.44,5.18,14.45,0.36,16.99,25.09,0.68,6.77
2003-2004,Suns,94.0,19.31,29.34,11.3,40.64,8.94,4.72,15.24,22.8,35.95,81.31,0.44,5.02,14.66,0.34,17.07,22.86,0.74,-3.52
2003-2004,SuperSonics,97.13,21.73,28.35,11.01,39.36,8.08,4.77,14.43,21.84,35.78,80.3,0.45,8.83,23.65,0.37,16.73,21.92,0.76,-0.39
2003-2004,Timberwolves,94.06,22.37,32.27,10.49,42.76,6.8,5.55,13.19,21.68,36.44,79.58,0.46,4.32,11.71,0.37,16.88,21.62,0.78,4.49
2003-2004,Trail Blazers,90.89,21.57,28.89,12.66,41.55,7.59,5.37,14.76,19.0,35.39,78.81,0.45,4.63,13.36,0.34,15.49,21.24,0.73,-0.71
2003-2004,Warriors,93.28,20.5,30.89,12.22,43.11,7.02,4.74,14.72,20.62,35.06,79.4,0.44,5.23,15.65,0.33,17.93,24.73,0.72,-0.73
2003-2004,Wizards,91.74,18.79,29.2,13.57,42.77,8.95,5.0,17.58,20.95,33.58,79.76,0.42,5.27,15.39,0.33,19.26,27.01,0.72,-4.73
2004-2005,76ers,98.43,20.68,30.51,10.88,41.39,9.21,3.87,15.49,23.1,35.64,81.43,0.44,6.14,17.71,0.35,21.0,26.82,0.78,-0.99
2004-2005,Bobcats,93.73,21.84,28.42,13.14,41.56,8.59,5.27,14.62,23.27,35.94,83.32,0.43,3.88,10.71,0.37,17.94,25.29,0.7,-5.75
2004-2005,Bucks,96.88,20.95,29.31,12.12,41.43,6.46,3.52,13.77,21.9,36.06,80.42,0.45,3.9,11.24,0.34,20.86,27.12,0.77,-2.93
2004-2005,Bulls,94.73,21.25,31.46,12.31,43.77,7.11,4.47,16.8,25.09,34.7,80.64,0.43,6.42,17.93,0.36,18.9,25.41,0.74,0.9
2004-2005,Cavaliers,96.45,22.54,28.69,13.54,42.23,7.98,5.58,13.94,22.68,36.48,81.48,0.45,3.58,10.82,0.32,19.92,26.56,0.75,0.74
2004-2005,Celtics,99.87,21.58,29.6,10.95,40.54,8.17,5.27,15.98,24.52,36.62,78.54,0.47,5.22,15.11,0.34,21.41,28.01,0.76,0.66
2004-2005,Clippers,95.53,23.08,30.0,12.05,42.05,7.36,5.28,15.8,22.59,35.4,77.65,0.46,2.83,8.23,0.34,21.78,28.06,0.78,-1.02
2004-2005,Grizzlies,94.03,20.99,28.15,10.89,39.03,8.4,5.81,14.47,23.5,34.49,76.83,0.45,6.41,17.88,0.36,18.57,24.69,0.75,2.16
2004-2005,Hawks,92.37,19.65,28.39,13.37,41.76,7.67,4.17,16.12,24.6,35.68,81.17,0.44,3.68,11.86,0.31,17.33,24.51,0.7,-9.74
2004-2005,Heat,100.87,21.26,32.33,10.35,42.68,6.32,5.7,13.87,22.7,37.4,76.89,0.49,5.79,15.33,0.37,20.28,30.17,0.68,6.16
2004-2005,Hornets,88.48,20.82,27.76,12.45,40.21,6.78,3.78,14.91,23.19,33.08,79.84,0.41,5.04,16.04,0.3,17.28,22.64,0.77,-7.08
2004-2005,Jazz,92.76,22.21,27.33,12.86,40.19,6.74,4.56,16.1,27.03,34.36,76.65,0.45,3.03,9.19,0.34,20.99,27.8,0.76,-3.96
2004-2005,Kings,103.13,23.97,29.23,12.32,41.55,8.18,3.8,13.14,21.1,38.66,84.55,0.46,6.25,17.09,0.36,19.56,24.84,0.79,1.1
2004-2005,Knicks,96.99,20.27,29.21,11.69,40.9,7.74,3.15,14.8,23.7,35.99,80.08,0.45,5.33,15.0,0.36,19.67,25.63,0.76,-1.96
2004-2005,Lakers,98.89,20.39,30.69,12.51,43.19,6.23,4.19,14.34,21.95,35.28,80.72,0.44,7.86,22.02,0.36,20.49,26.35,0.78,-2.46
2004-2005,Magic,99.57,19.3,31.07,12.62,43.69,7.77,5.43,16.05,23.73,36.98,81.38,0.46,3.95,11.24,0.34,21.67,28.57,0.76,-1.85
2004-2005,Mavericks,102.59,19.19,30.56,12.38,42.94,8.37,5.48,13.42,22.52,37.23,81.77,0.46,5.73,15.65,0.36,22.38,28.37,0.79,4.56
2004-2005,Nets,91.51,21.6,29.14,10.59,39.73,7.84,3.6,14.3,24.88,33.47,78.33,0.43,5.24,14.86,0.35,19.32,25.46,0.77,-1.9
2004-2005,Nuggets,99.0,23.65,30.13,11.55,41.68,9.07,5.9,14.92,23.2,36.84,80.32,0.46,3.86,11.35,0.34,21.47,28.27,0.76,2.22
2004-2005,Pacers,91.77,18.15,29.32,10.59,39.91,7.67,4.54,14.67,23.16,32.01,74.77,0.43,6.48,19.0,0.35,21.26,26.9,0.79,0.15
2004-2005,Pistons,92.54,21.49,30.23,12.68,42.91,7.39,6.02,13.82,20.51,34.69,78.33,0.44,4.46,13.05,0.34,18.69,25.36,0.74,4.45
2004-2005,Raptors,99.59,20.53,29.97,10.27,40.23,7.69,3.9,13.52,23.07,35.83,80.94,0.44,7.91,20.48,0.39,20.0,25.95,0.77,-1.5
2004-2005,Rockets,94.93,20.77,31.27,10.71,41.99,6.9,4.67,14.0,22.31,34.6,77.87,0.44,6.67,18.36,0.36,19.05,24.43,0.79,3.12
2004-2005,Spurs,96.37,20.94,30.26,12.09,42.35,7.14,6.44,14.08,21.32,35.38,78.01,0.45,6.33,17.16,0.37,19.28,26.61,0.73,7.39
2004-2005,Suns,110.7,23.01,32.23,11.91,44.14,6.85,5.64,13.71,19.51,40.92,85.25,0.48,9.45,23.74,0.4,19.39,25.79,0.75,7.02
2004-2005,SuperSonics,98.59,17.84,28.07,12.68,40.75,6.77,4.15,13.83,24.03,35.07,78.89,0.45,7.71,21.43,0.36,20.74,26.23,0.79,1.87
2004-2005,Timberwolves,96.71,23.52,31.57,11.41,42.98,5.72,5.42,13.37,21.77,37.07,80.66,0.46,4.78,13.88,0.35,17.79,22.44,0.79,1.66
2004-2005,Trail Blazers,92.47,20.85,29.3,12.01,41.31,7.17,6.62,16.2,20.88,35.13,78.22,0.45,5.06,14.12,0.35,17.15,23.74,0.72,-3.73
2004-2005,Warriors,98.27,21.96,29.73,12.99,42.72,7.87,5.07,13.73,22.4,36.76,85.71,0.43,7.45,21.25,0.34,17.26,23.82,0.72,-1.71
2004-2005,Wizards,100.22,18.78,28.92,13.73,42.64,8.78,4.39,14.55,22.58,35.87,82.46,0.44,6.08,18.17,0.34,22.37,30.84,0.72,-0.66
2005-2006,76ers,99.06,20.13,29.45,10.7,40.15,8.16,4.9,14.2,21.4,36.51,79.87,0.46,4.55,12.67,0.36,21.49,28.47,0.75,-1.8
2005-2006,Bobcats,96.53,21.0,27.7,12.14,39.84,10.16,4.3,14.24,24.61,36.02,83.52,0.43,5.11,15.24,0.33,19.38,26.69,0.72,-3.92
2005-2006,Bucks,97.62,21.33,29.54,11.27,40.81,7.4,3.11,14.72,23.76,36.15,80.04,0.45,6.05,15.78,0.39,19.27,26.06,0.73,-1.49
2005-2006,Bulls,97.48,21.58,31.51,11.07,42.58,6.39,4.15,15.0,25.2,36.16,81.4,0.45,6.75,17.81,0.38,18.42,25.14,0.73,0.34
2005-2006,Cavaliers,96.67,18.69,30.22,12.05,42.27,7.11,4.79,14.48,22.07,35.01,77.73,0.45,5.81,17.35,0.33,20.84,28.4,0.73,1.99
2005-2006,Celtics,97.72,21.02,29.7,9.87,39.57,7.2,5.24,16.97,25.33,35.74,76.56,0.47,5.5,15.24,0.36,20.73,27.57,0.75,-1.48
2005-2006,Clippers,98.12,20.85,32.92,10.33,43.25,6.47,6.1,14.57,23.05,36.76,78.73,0.47,3.76,10.55,0.35,20.83,26.27,0.79,2.65
2005-2006,Grizzlies,91.53,19.1,28.97,10.04,39.01,7.4,5.22,14.26,22.29,33.06,73.99,0.45,7.03,18.76,0.38,18.37,25.87,0.71,3.13
2005-2006,Hawks,97.15,19.76,27.27,12.82,40.09,7.11,4.69,15.84,25.11,35.91,78.62,0.46,5.06,13.54,0.37,20.27,27.01,0.75,-4.2
2005-2006,Heat,98.28,19.69,32.41,10.26,42.67,6.62,5.19,14.89,23.26,36.23,76.16,0.48,6.02,17.81,0.33,19.79,28.94,0.68,3.12
2005-2006,Hornets,92.94,18.63,28.89,11.21,40.1,7.31,3.83,13.63,21.99,34.45,78.09,0.44,3.87,11.34,0.34,20.18,26.81,0.75,-2.1
2005-2006,Jazz,92.0,21.47,28.99,12.99,41.98,6.47,5.99,16.36,25.15,33.35,75.44,0.44,3.72,11.03,0.33,21.58,29.87,0.72,-2.61
2005-2006,Kings,98.64,21.68,29.8,10.69,40.49,7.55,3.56,14.69,21.06,35.77,79.09,0.45,5.85,17.02,0.34,21.24,27.01,0.79,0.97
2005-2006,Knicks,95.31,17.88,29.03,12.6,41.63,7.07,3.29,18.06,26.62,34.3,75.48,0.46,3.74,10.39,0.36,22.97,31.82,0.72,-5.89
2005-2006,Lakers,99.51,20.77,30.26,11.99,42.25,7.67,4.11,13.92,23.62,36.42,80.64,0.45,6.4,18.81,0.34,20.23,27.14,0.75,1.75
