Player,Team,PTS_per_game,AST_per_game,FG_pct,TRB_per_game,BLK_per_game,STL_per_game,3P_pct,TOV_per_game,PF_per_game,Season
George McCloud,DEN,10.1,3.2,0.417,3.7,0.3,0.6,0.378,1.7,2.3,1999-00
Dale Davis,IND,10.0,0.9,0.502,9.9,1.3,0.7,,1.2,2.7,1999-00
Johnny Newman,NJN,10.0,0.8,0.446,1.9,0.1,0.6,0.379,1.1,2.5,1999-00
Joe Smith,MIN,9.9,1.1,0.464,6.2,1.1,0.6,1.0,1.5,3.9,1999-00
Michael Olowokandi,LAC,9.8,0.5,0.437,8.2,1.8,0.4,,2.2,3.8,1999-00
Anthony Peeler,MIN,9.8,2.4,0.436,2.8,0.1,0.8,0.333,1.0,2.1,1999-00
Matt Geiger,PHI,9.7,0.6,0.441,6.0,0.3,0.4,0.0,1.4,3.0,1999-00
P.J. Brown,MIA,9.6,1.8,0.48,7.5,0.8,0.8,0.0,1.3,3.3,1999-00
George Lynch,PHI,9.6,1.8,0.461,7.8,0.5,1.6,0.417,1.6,3.1,1999-00
Chucky Atkins,ORL,9.5,3.7,0.424,1.5,0.0,0.6,0.35,1.7,1.7,1999-00
Vonteego Cummings,GSW,9.4,3.3,0.405,2.5,0.2,1.2,0.325,1.8,2.3,1999-00
Terry Porter,SAS,9.4,3.3,0.447,2.8,0.1,0.7,0.435,1.5,1.2,1999-00
Chris Carr,2TM,9.3,1.5,0.395,3.0,0.3,0.5,0.317,2.1,2.0,1999-00
Chris Carr,GSW,5.6,0.4,0.333,1.9,0.1,0.0,0.125,0.7,1.7,1999-00
Chris Carr,CHI,9.8,1.6,0.4,3.2,0.3,0.6,0.333,2.2,2.0,1999-00
Brevin Knight,CLE,9.3,7.0,0.412,3.0,0.3,1.6,0.2,2.4,2.8,1999-00
Rusty LaRue,CHI,9.3,2.8,0.349,2.5,0.0,1.8,0.143,1.8,2.3,1999-00
Wesley Person,CLE,9.2,1.8,0.428,3.4,0.2,0.5,0.424,0.8,1.5,1999-00
Vitaly Potapenko,BOS,9.2,1.0,0.499,6.3,0.4,0.5,0.0,1.8,3.0,1999-00
Richard Hamilton,WAS,9.0,1.5,0.42,1.8,0.1,0.4,0.364,1.2,2.0,1999-00
Fred Hoiberg,CHI,9.0,2.7,0.387,3.5,0.1,1.3,0.34,1.4,2.1,1999-00
Travis Best,IND,8.9,3.3,0.483,1.7,0.1,0.9,0.376,1.3,2.5,1999-00
Robert Pack,DAL,8.9,5.8,0.417,1.4,0.1,1.1,0.364,2.6,1.5,1999-00
Bryant Reeves,VAN,8.9,1.2,0.448,5.7,0.6,0.5,0.0,1.7,3.6,1999-00
Troy Hudson,LAC,8.8,3.9,0.377,2.4,0.0,0.7,0.311,1.7,1.0,1999-00
Bonzi Wells,POR,8.8,1.5,0.492,2.8,0.2,1.0,0.377,1.5,2.3,1999-00
Kelvin Cato,HOU,8.7,0.4,0.537,6.0,1.9,0.5,0.0,1.1,2.7,1999-00
Eric Piatkowski,LAC,8.7,1.1,0.415,3.0,0.2,0.6,0.383,0.8,1.9,1999-00
Monty Williams,ORL,8.7,1.4,0.489,3.3,0.2,0.6,0.4,1.5,2.5,1999-00
Chauncey Billups,DEN,8.6,3.0,0.337,2.6,0.2,0.8,0.171,1.8,2.1,1999-00
Keon Clark,DEN,8.6,0.9,0.542,6.2,1.4,0.6,0.125,1.5,2.9,1999-00
Howard Eisley,UTA,8.6,4.2,0.418,2.1,0.1,0.7,0.368,1.6,2.7,1999-00
Steve Nash,DAL,8.6,4.9,0.477,2.2,0.1,0.7,0.403,1.8,2.2,1999-00
Shawn Bradley,DAL,8.4,0.8,0.479,6.5,2.5,0.9,0.2,1.0,3.4,1999-00
Terry Cummings,GSW,8.4,1.0,0.429,4.9,0.4,0.6,,1.2,3.4,1999-00
LaPhonso Ellis,ATL,8.4,1.0,0.45,5.0,0.4,0.6,0.143,0.9,2.3,1999-00
Corey Maggette,ORL,8.4,0.8,0.478,3.9,0.3,0.3,0.182,1.8,2.2,1999-00
Jerome Williams,DET,8.4,0.8,0.564,9.6,0.3,1.2,0.0,1.3,2.4,1999-00
Kenny Thomas,HOU,8.3,1.6,0.399,6.1,0.3,0.8,0.262,1.6,2.3,1999-00
Pat Garrity,ORL,8.2,0.7,0.441,2.6,0.2,0.4,0.401,1.0,2.4,1999-00
Rashard Lewis,SEA,8.2,0.9,0.486,4.1,0.4,0.8,0.333,1.0,2.0,1999-00
James Posey,DEN,8.2,1.8,0.429,3.9,0.4,1.2,0.373,1.2,2.6,1999-00
Bimbo Coles,ATL,8.1,3.6,0.455,2.2,0.1,0.7,0.205,1.3,2.2,1999-00
Horace Grant,SEA,8.1,2.5,0.444,7.8,0.8,0.7,0.0,0.8,2.5,1999-00
Mark Jackson,IND,8.1,8.0,0.432,3.7,0.1,0.9,0.403,2.1,1.4,1999-00
Jason Terry,ATL,8.1,4.3,0.415,2.0,0.1,1.1,0.293,1.9,1.6,1999-00
Jon Barry,SAC,8.0,2.4,0.465,2.6,0.1,1.2,0.429,1.4,1.7,1999-00
Erick Dampier,GSW,8.0,0.9,0.405,6.4,0.7,0.4,,1.4,3.6,1999-00
Aaron McKie,PHI,8.0,2.9,0.411,3.0,0.2,1.3,0.364,1.4,2.4,1999-00
Carlos Rogers,HOU,8.0,0.8,0.525,5.2,0.6,0.3,0.071,1.2,1.5,1999-00
Kurt Thomas,NYK,8.0,1.0,0.505,6.3,0.5,0.6,0.333,1.3,3.5,1999-00
Hersey Hawkins,CHI,7.9,2.2,0.424,2.9,0.2,1.2,0.39,1.6,2.4,1999-00
Mikki Moore,DET,7.9,0.6,0.621,3.9,1.1,0.3,,0.8,3.6,1999-00
Eric Snow,PHI,7.9,7.6,0.43,3.2,0.1,1.7,0.244,2.0,3.0,1999-00
Chris Whitney,WAS,7.8,3.8,0.417,1.6,0.1,0.7,0.376,1.3,2.0,1999-00
Corey Benjamin,CHI,7.7,1.1,0.414,1.8,0.5,0.6,0.348,1.5,2.5,1999-00
Brad Miller,CHH,7.7,0.8,0.461,5.3,0.6,0.4,0.0,0.9,2.0,1999-00
Dell Curry,TOR,7.6,1.3,0.427,1.5,0.1,0.5,0.393,0.6,1.0,1999-00
Danny Fortson,BOS,7.6,0.5,0.528,6.7,0.1,0.4,,1.2,3.3,1999-00
Aaron Williams,WAS,7.6,0.7,0.522,5.0,1.1,0.5,0.0,1.0,2.9,1999-00
Scott Williams,MIL,7.6,0.4,0.5,6.6,1.0,0.6,,1.0,3.4,1999-00
Kevin Willis,TOR,7.6,0.6,0.415,6.1,0.6,0.5,0.333,1.2,3.2,1999-00
Dedric Willoughby,CHI,7.6,2.6,0.341,2.0,0.1,0.9,0.296,1.5,1.3,1999-00
Mario Elie,SAS,7.5,2.4,0.427,3.2,0.1,0.9,0.398,1.6,2.0,1999-00
Detlef Schrempf,POR,7.5,2.6,0.432,4.3,0.2,0.5,0.404,1.3,2.4,1999-00
B.J. Armstrong,CHI,7.4,2.9,0.446,1.7,0.0,0.3,0.448,1.5,1.3,1999-00
Hubert Davis,DAL,7.4,1.8,0.468,1.7,0.0,0.3,0.491,0.9,1.4,1999-00
Danny Ferry,CLE,7.3,1.1,0.497,3.8,0.4,0.3,0.44,0.9,2.9,1999-00
Brian Grant,POR,7.3,1.0,0.491,5.5,0.4,0.5,0.5,1.3,2.6,1999-00
Dan Majerle,MIA,7.3,3.0,0.403,4.8,0.2,1.3,0.362,0.9,2.3,1999-00
Charlie Ward,NYK,7.3,4.2,0.423,3.2,0.2,1.3,0.386,1.4,2.4,1999-00
Dana Barros,BOS,7.2,1.8,0.451,1.4,0.1,0.4,0.41,0.9,1.1,1999-00
Jeff McInnis,LAC,7.2,3.6,0.43,2.9,0.1,0.6,0.333,1.1,2.2,1999-00
Roshown McLeod,ATL,7.2,1.2,0.395,3.1,0.1,0.4,0.154,1.3,1.9,1999-00
Clarence Weatherspoon,MIA,7.2,1.2,0.513,5.8,0.6,0.7,,1.3,2.1,1999-00
Eric Williams,BOS,7.2,1.4,0.427,2.3,0.2,0.6,0.347,1.0,2.4,1999-00
Jahidi White,WAS,7.1,0.2,0.507,6.9,1.0,0.4,,1.2,2.9,1999-00
Michael Doleac,ORL,7.0,0.8,0.452,4.1,0.4,0.4,0.5,0.8,2.8,1999-00
Ron Harper,LAL,7.0,3.4,0.399,4.2,0.5,1.1,0.311,1.7,2.1,1999-00
Eddie Robinson,CHH,7.0,0.5,0.549,2.7,0.4,0.7,0.0,0.6,1.0,1999-00
Dee Brown,TOR,6.9,2.3,0.36,1.4,0.1,0.6,0.358,1.0,1.6,1999-00
Moochie Norris,HOU,6.9,3.1,0.434,2.3,0.0,0.8,0.414,1.0,1.1,1999-00
Charles Oakley,TOR,6.9,3.2,0.418,6.8,0.6,1.3,0.341,1.9,3.7,1999-00
Matt Bullard,HOU,6.8,1.1,0.409,2.5,0.2,0.3,0.446,0.6,1.5,1999-00
Todd Day,PHO,6.8,1.1,0.394,2.2,0.4,0.8,0.388,0.9,2.2,1999-00
Isaac Austin,WAS,6.7,1.3,0.429,4.8,0.6,0.3,0.25,1.8,2.2,1999-00
Armen Gilliam,UTA,6.7,0.8,0.436,4.2,0.3,0.2,0.0,1.1,1.7,1999-00
Adrian Griffin,BOS,6.7,2.5,0.424,5.2,0.2,1.6,0.281,1.3,3.1,1999-00
Lucious Harris,NJN,6.7,1.3,0.428,2.4,0.1,0.8,0.33,0.5,1.3,1999-00
Kevin Johnson,PHO,6.7,4.0,0.571,2.7,0.0,0.3,1.0,1.2,1.0,1999-00
Terry Mills,DET,6.7,1.0,0.439,4.8,0.3,0.5,0.393,0.6,3.0,1999-00
Malik Rose,SAS,6.7,0.6,0.457,4.5,0.7,0.5,0.333,1.3,3.1,1999-00
Tony Battie,BOS,6.6,0.8,0.477,5.0,0.9,0.6,0.125,0.8,3.0,1999-00
Rex Chapman,PHO,6.6,1.2,0.388,1.5,0.0,0.4,0.333,0.7,1.3,1999-00
Andrew DeClercq,CLE,6.6,0.7,0.508,5.4,0.8,0.8,,1.3,3.4,1999-00
Al Harrington,IND,6.6,0.8,0.458,3.2,0.2,0.5,0.235,1.3,2.6,1999-00
Sam Perkins,IND,6.6,0.8,0.417,3.6,0.4,0.4,0.408,0.8,1.7,1999-00
Rick Fox,LAL,6.5,1.7,0.414,2.4,0.3,0.6,0.326,1.1,2.5,1999-00
Dion Glover,ATL,6.5,0.9,0.386,1.3,0.1,0.5,0.267,0.9,0.9,1999-00
Sam Mitchell,MIN,6.5,1.7,0.447,2.1,0.2,0.4,0.435,0.7,1.8,1999-00
John Wallace,NYK,6.5,0.4,0.467,2.3,0.2,0.2,0.0,1.1,1.7,1999-00
Randy Brown,CHI,6.4,3.4,0.361,2.4,0.3,1.0,0.5,1.8,2.0,1999-00
Tony Delk,SAC,6.4,1.2,0.43,1.9,0.1,0.8,0.225,0.7,1.3,1999-00
Lawrence Funderburke,SAC,6.4,0.4,0.523,3.1,0.3,0.4,0.0,0.5,1.2,1999-00
Matt Maloney,CHI,6.4,2.7,0.358,1.3,0.1,0.6,0.356,1.2,0.8,1999-00
Greg Anthony,POR,6.3,2.5,0.406,1.6,0.1,0.7,0.378,1.0,1.7,1999-00
Anthony Carter,MIA,6.3,4.8,0.395,2.5,0.1,1.2,0.13,2.2,2.1,1999-00
Tony Farmer,GSW,6.3,1.0,0.407,4.0,0.2,0.9,0.182,1.1,2.3,1999-00
Derek Fisher,LAL,6.3,2.8,0.346,1.8,0.0,1.0,0.313,1.0,1.9,1999-00
Jaren Jackson,SAS,6.3,1.5,0.381,2.2,0.1,0.7,0.353,0.8,1.9,1999-00
Luc Longley,PHO,6.3,1.1,0.466,4.5,0.6,0.3,,1.9,3.1,1999-00
Oliver Miller,PHO,6.3,1.3,0.588,5.1,1.6,0.8,,1.5,2.6,1999-00
Michael Smith,WAS,6.3,1.2,0.563,7.2,0.5,0.6,0.0,1.0,2.8,1999-00
Michael Curry,DET,6.2,1.1,0.48,1.3,0.1,0.4,0.2,0.9,2.5,1999-00
Antonio Daniels,SAS,6.2,2.6,0.474,1.3,0.1,0.8,0.333,0.9,1.1,1999-00
Mark Davis,GSW,6.2,1.7,0.409,3.7,0.2,1.1,0.0,1.7,2.3,1999-00
Scott Burrell,NJN,6.1,1.0,0.394,3.5,0.6,0.9,0.353,0.5,2.3,1999-00
Billy Owens,2TM,6.0,1.6,0.419,4.9,0.3,0.5,0.324,1.4,2.7,1999-00
Billy Owens,PHI,5.9,1.3,0.434,4.2,0.3,0.6,0.333,1.3,2.6,1999-00
Billy Owens,GSW,6.4,2.4,0.38,6.8,0.3,0.4,0.286,1.5,2.9,1999-00
Chris Anstey,CHI,6.0,0.9,0.442,3.8,0.3,0.4,0.167,1.1,2.5,1999-00
