Feature,Importance
away_Rk_p7,0.0009636919929995415
away_TRB%_p5,0.0009619899368919351
home_MP_p14,0.0009615476395952248
away_TRB%_p3,0.0009613430972957378
away_3PAr_p4,0.0009613345577327514
away_OWS_p6,0.000960931992578851
away_FG_pct_p8,0.0009609111010123192
away_AST%_p4,0.0009598769267775225
away_Rk_p10,0.000957812688144542
away_FTr_p4,0.0009571354586860128
away_USG%_p12,0.0009571305919269689
away_PTS_per_game_p4,0.0009553566553240655
away_Rk_p11,0.0009552761517478455
away_MP_p7,0.0009547536676596433
away_PER_p13,0.0009540430957208897
away_TOV%_p5,0.0009534547594461547
away_TS%_p8,0.0009523393226358368
away_FTr_p14,0.0009516121052604359
away_DRB%_p11,0.0009490209001251013
away_PER_p3,0.0009482435485444093
away_MP_p6,0.0009459901068398131
away_FG_pct_p9,0.000945775796532621
away_TS%_p9,0.0009457013267318832
away_BPM_p9,0.0009455051422103213
away_FG_pct_p13,0.0009451983531815184
home_FTr_p13,0.0009445990894556001
away_TRB%_p1,0.0009445330877799515
away_DRB%_p10,0.0009443735496795112
away_AST%_p7,0.0009436654768342049
home_FTr_p10,0.0009429775978825482
home_MP_p15,0.0009428045412205476
away_3PAr_p3,0.0009425626877629771
away_FTr_p6,0.0009422412314887734
away_BPM_p11,0.0009411925355616792
away_DRB%_p3,0.0009410337642706724
away_WS_p5,0.0009402882895254224
away_TOV%_p6,0.0009401127973822126
home_FG_pct_p1,0.0009395380217081013
home_PER_p3,0.0009387341658334912
away_DBPM_p11,0.0009381711048437323
away_PER_p10,0.0009379003477143299
away_FG_pct_p6,0.0009367137548274494
away_MP_p11,0.0009363435185543937
away_USG%_p8,0.0009363153981309951
away_3PAr_p1,0.0009347724103726862
away_WS/48_p15,0.0009339418541213081
away_3PAr_p6,0.0009327623065548264
home_TOV%_p13,0.000932208383531329
away_Rk_p4,0.0009318758826719311
away_TOV%_p3,0.0009305164317530281
away_ORB%_p12,0.0009305004979065728
away_BPM_p5,0.0009297301880507945
away_AST%_p9,0.0009295459082835724
away_PTS_per_game_p6,0.0009291042266381329
away_DBPM_p1,0.0009290431693926547
away_AST%_p1,0.0009283327924962011
away_Rk_p15,0.0009281278708983809
away_TOV%_p10,0.0009281199041712231
away_FTr_p3,0.0009276970865847481
home_BPM_p4,0.0009261160463986365
away_AST%_p10,0.0009260463122462127
away_TRB%_p11,0.0009242852963956377
away_FG_pct_p11,0.0009242782517252316
away_PER_p11,0.0009222812660681064
home_Rk_p3,0.0009207623138571263
away_FTr_p10,0.0009206296385523792
away_DBPM_p12,0.000920453087214165
away_FTr_p13,0.0009202410959725544
away_VORP_p7,0.0009198886286468117
away_USG%_p5,0.0009192815355743149
home_PTS_per_game_p8,0.0009189545110726008
home_BPM_p6,0.0009186752230871454
home_OWS_p4,0.0009183453707964441
away_Rk_p13,0.0009178097851895534
away_PER_p4,0.0009172678589901101
away_TOV%_p1,0.000916936059822081
home_FTr_p14,0.0009167907549658825
away_3PAr_p2,0.0009166011019734661
home_BPM_p7,0.0009162372125709078
away_DRB%_p4,0.0009151094935609418
home_FG_pct_p4,0.0009148844570689821
away_PTS_per_game_p12,0.0009139464167732069
away_MP_p8,0.0009133474937160416
away_DRB%_p1,0.000913273346177313
away_DRB%_p12,0.0009127692331143454
home_FTr_p12,0.0009122863676088315
away_FTr_p12,0.0009111480018225769
away_TOV%_p7,0.000911107070926179
home_DWS_p6,0.0009109457099405158
away_PER_p2,0.0009101973324445114
away_FG_pct_p2,0.0009100737842770508
away_TS%_p5,0.000909517497216459
home_BPM_p5,0.0009081669027524976
away_ORB%_p8,0.0009080833725992228
home_DRB%_p3,0.0009075171878995533
home_PER_p11,0.0009073610659692963
away_3PAr_p9,0.0009070867958740985
home_FTr_p4,0.0009040476912081541
away_PTS_per_game_p5,0.0009039033317173689
away_OBPM_p9,0.0009031249370312846
away_DRB%_p5,0.000901628004667233
away_3P_pct_p2,0.0009009420157624297
away_TOV%_p2,0.0009005972988703114
away_AST%_p8,0.0009004993142810967
away_TOV%_p12,0.0008999895317101305
away_PTS_per_game_p9,0.0008998383463154732
