Charlotte-Brooklyn,1016894
Minnesota-Cleveland,1479591
San Antonio-Washington,2580463
Toronto-Houston,2464212
Philadelphia-Milwaukee,1383335
Charlotte-Detroit,1008370
New Orleans-Sacramento,3591566
Denver-Phoenix,1322421
Golden State-Chicago,3448625
Portland-Minnesota,2588501
San Antonio-Orlando,1864222
Atlanta-Washington,1027732
Indiana-Los Angeles,3459953
Houston-Dallas,384879
Utah-Phoenix,1066615
Toronto-Oklahoma City,2021161
Miami-Brooklyn,2075959
Philadelphia-Detroit,941109
San Antonio-Charlotte,1985462
Cleveland-Washington,594484
Sacramento-Portland,932118
Orlando-Denver,2961358
Houston-Minnesota,2149254
Dallas-Boston,2844672
Orlando-Sacramento,4524715
Phoenix-Oklahoma City,1542097
Golden State-Utah,1308833
New Orleans-Denver,2097186
Chicago-Minnesota,920149
Washington-Brooklyn,371097
Memphis-Toronto,1564428
Milwaukee-Charlotte,1371397
San Antonio-Atlanta,1589962
Indiana-Portland,3671644
Boston-Cleveland,1028239
Houston-Brooklyn,2627707
New York-Toronto,789726
Dallas-Philadelphia,2361122
Orlando-Golden State,4255042
Phoenix-Portland,2143122
Indiana-Utah,2509455
Sacramento-Minnesota,2891239
Milwaukee-Oklahoma City,1413464
Houston-New York,2620767
Atlanta-Detroit,1163911
Memphis-Milwaukee,1000537
Dallas-Cleveland,1901479
Los Angeles-Toronto,4057040
Chicago-Detroit,456659
Miami-San Antonio,2230839
Brooklyn-Houston,2624662
Washington-Minnesota,2047761
Sacramento-Oklahoma City,2606586
Denver-Charlotte,2518402
Atlanta-Indiana,984118
Orlando-Utah,3724943
Phoenix-Golden State,946722
Boston-New Orleans,2451632
Milwaukee-San Antonio,2063923
Denver-Philadelphia,2781717
Chicago-Toronto,838670
Los Angeles-Charlotte,3894242
Dallas-Detroit,1908175
Orlando-Portland,4887132
Houston-Memphis,914359
Los Angeles-Washington,4293972
Atlanta-Cleveland,1142531
Oklahoma City-Golden State,2336492
Dallas-New Orleans,813019
Los Angeles-San Antonio,2176436
Chicago-Boston,1582034
Denver-New York,2865804
Sacramento-Philadelphia,4491300
Detroit-Indiana,338686
Utah-Golden State,1308270
Milwaukee-Portland,3323711
Los Angeles-Philadelphia,4360195
Milwaukee-Utah,2314135
Washington-Dallas,2138207
Denver-Chicago,1620769
Atlanta-Minnesota,2070869
Houston-Boston,2974163
Sacramento-Brooklyn,4547942
Orlando-Miami,381128
Memphis-New York,1765210
New Orleans-Toronto,2081884
Detroit-Cleveland,272989
Oklahoma City-Portland,3073896
Washington-Phoenix,3701831
Philadelphia-Chicago,1222770
Toronto-Atlanta,1530836
Houston-Cleveland,2088634
Sacramento-New York,4541002
New Orleans-Charlotte,1150121
Detroit-Orlando,1867752
Boston-Dallas,2843929
Denver-Minnesota,1493544
