Feature,Importance
away_Rk_p1,0.0009056700673646585
away_AST%_p13,0.0009055281870932975
away_TS%_p8,0.0009055091613801554
away_TOV%_p11,0.0009054417356166211
away_FTr_p6,0.0009053199434916697
away_WS_p9,0.0009051276674053601
away_FTr_p1,0.0009047844858522923
away_FTr_p5,0.0009040214168144498
away_USG%_p10,0.0009029046743004993
home_MP_p5,0.0009025338343022812
away_AST%_p9,0.0009024529329905755
away_MP_p9,0.0009012336818998528
home_TS%_p3,0.0009008482939280037
away_OBPM_p9,0.000900279017295644
away_MP_p7,0.0008997621751312377
home_AST_per_game_p1,0.000899554871728059
away_AST%_p3,0.0008994419433851021
away_TOV%_p12,0.0008991612310970734
away_Rk_p7,0.0008989686104138428
away_OBPM_p6,0.0008989516399710157
away_BPM_p5,0.0008986383577872141
home_DRB%_p12,0.0008984921754841762
home_TOV%_p12,0.0008984809746314458
away_OBPM_p5,0.0008983887235440715
away_DBPM_p4,0.0008982453070586574
away_AST%_p1,0.0008977442788795651
away_USG%_p14,0.0008973138453896134
away_MP_p2,0.0008967783379650254
away_Rk_p4,0.0008965425702024475
away_MP_p1,0.0008954181282666246
away_3P_pct_p2,0.0008943951126284538
home_TOV%_p8,0.0008937861416027406
away_3PAr_p13,0.0008933161867046188
home_USG%_p12,0.0008933137872492426
away_FG_pct_p13,0.0008921825468661564
home_PER_p11,0.0008914404459068538
home_DBPM_p9,0.0008908122830033508
away_TS%_p9,0.0008907601316692771
away_MP_p10,0.0008907185893313126
home_WS_p6,0.0008897552125583861
away_FG_pct_p8,0.0008891818916412303
home_TOV%_p4,0.0008890499735629429
home_USG%_p15,0.0008884388496210956
away_DRB%_p11,0.0008880907187539057
away_TOV%_p8,0.0008877134387518404
away_WS_p10,0.0008872719218739246
away_AST_per_game_p3,0.0008869754287611692
away_TRB%_p13,0.000886372895173123
home_Rk_p3,0.0008854001542453495
away_3PAr_p5,0.0008851452339527464
away_TOV%_p3,0.0008849386131904492
away_VORP_p6,0.0008848014175526928
away_AST%_p8,0.0008841530677718473
away_TRB%_p11,0.0008840489489159485
away_WS_p8,0.0008837068294538042
home_AST%_p11,0.0008830250269891425
away_DRB%_p6,0.0008829749726215325
away_Rk_p12,0.0008829330186606363
away_3PAr_p1,0.0008828704213742334
away_PTS_per_game_p6,0.0008828455639674288
away_TRB%_p2,0.0008825105258812949
away_USG%_p4,0.0008823763601681114
home_FG_pct_p5,0.0008817019334073713
home_PTS_per_game_p11,0.0008809183073345351
away_PER_p12,0.0008800933077623339
home_MP_p10,0.0008796271719201505
home_PER_p2,0.0008794303345908817
away_TRB_per_game_p12,0.0008782947462130355
away_BPM_p8,0.0008780861968461068
away_BPM_p10,0.0008780320426648954
away_3P_pct_p4,0.0008778575821759134
away_TS%_p10,0.0008774365630002871
away_Rk_p9,0.0008773871297230732
home_FTr_p12,0.0008771726169956361
home_DBPM_p2,0.0008769975254120349
away_FTr_p11,0.0008766734749537146
home_Rk_p9,0.0008766681454169649
away_TOV%_p14,0.0008762741937952486
away_3PAr_p11,0.0008755515436029779
away_PER_p5,0.0008753572489861517
away_AST%_p10,0.0008752660263742196
home_Rk_p12,0.0008751939427954263
away_PER_p11,0.0008751503407282093
away_OBPM_p10,0.0008743657674539492
away_G_p11,0.0008737761388055734
away_Rk_p5,0.000872564523887628
away_PTS_per_game_p9,0.0008725544692175794
home_FG_pct_p7,0.0008723876761348497
home_USG%_p7,0.0008721153840590056
away_BPM_p12,0.0008718675619141901
home_DBPM_p12,0.0008711461861799943
away_DBPM_p14,0.0008711256621656408
away_DRB%_p5,0.000870753240093046
away_TRB%_p9,0.0008702623918362562
away_TRB_per_game_p6,0.0008699030281300865
away_AST%_p12,0.000869890842896135
away_USG%_p15,0.0008697808029946164
home_TRB%_p8,0.0008694077473241376
home_DRB%_p5,0.0008692541161260673
away_BPM_p11,0.0008691219457069526
away_WS/48_p15,0.0008690432052325499
away_GS_p6,0.0008689492954624467
home_FG_pct_p8,0.0008688797878099324
home_DBPM_p4,0.0008685582841285802
home_PTS_per_game_p1,0.0008680797546708279
home_Rk_p4,0.0008678067565626823
home_BPM_p4,0.0008676548369803608
away_3PAr_p4,0.0008676388113251553
away_OWS_p4,0.0008672501513433723
away_ORB%_p13,0.0008671617254768762
away_TRB%_p8,0.0008671394611655051
home_FG_pct_p11,0.0008664287625838775
away_OBPM_p11,0.0008663904734158311
away_DBPM_p13,0.000866118521316542
home_Rk_p2,0.0008660703586654591
home_PTS_per_game_p9,0.0008659199181458606
home_OBPM_p6,0.0008658425436087926
home_DRB%_p2,0.0008657486678548706
home_WS/48_p11,0.0008655424503149072
away_ORB%_p5,0.0008651374915689829
away_ORB%_p11,0.0008643850408679786
home_WS/48_p8,0.0008643041367682246
away_PER_p10,0.0008641656304872444
away_ORB%_p7,0.0008636798937608472
home_FTr_p6,0.0008629094161496234
home_WS/48_p10,0.0008627493011784662
away_ORB%_p10,0.0008618239929097265
away_BPM_p14,0.0008617492916795144
away_DRB%_p2,0.0008617292411204402
home_USG%_p6,0.0008613427671399498
away_TOV%_p7,0.0008608388280875608
home_GS_p4,0.0008607665725823449
away_PTS_per_game_p12,0.0008605636751702959
home_DRB%_p8,0.0008598314226966451
home_FG_pct_p3,0.0008598272484145507
